year,qtr,state_fips,low,high,FIPS,State,low_diff,YearQuarter,profitability,asset_quality,profitability_diff,assetquality_diff
2007,3,19,1.32,1.4,19,iowa,0.08000000000000007,2007Q3,0.007751318858552357,0.0027434484260117093,-0.0011747358252773904,-0.0004952831345195171
2007,4,19,1.32,1.4,19,iowa,0.0,2007Q4,0.007751318858552357,0.0027434484260117093,-0.0011747358252773904,-0.0004952831345195171
2008,1,19,1.24,1.32,19,iowa,-0.08000000000000007,2008Q1,0.0005011628157500707,0.010385897546008046,-0.007250156042802287,0.007642449119996337
2008,2,19,1.32,1.4,19,iowa,0.08000000000000007,2008Q2,0.0005011628157500707,0.010385897546008046,-0.007250156042802287,0.007642449119996337
2005,2,20,1.32,1.4,20,kansas,0.0,2005Q2,0.010475807740639331,0.0005533025453709368,0.019407946724273144,1.8500356495924106e-05
2005,3,20,1.24,1.32,20,kansas,-0.08000000000000007,2005Q3,0.010475807740639331,0.0005533025453709368,0.019407946724273144,1.8500356495924106e-05
2005,4,20,1.32,1.4,20,kansas,0.08000000000000007,2005Q4,0.010475807740639331,0.0005533025453709368,0.019407946724273144,1.8500356495924106e-05
2006,1,20,1.24,1.32,20,kansas,-0.08000000000000007,2006Q1,0.008440169020034876,0.0005171645285440244,-0.0020356387206044557,-3.613801682691238e-05
2006,2,20,1.32,1.4,20,kansas,0.08000000000000007,2006Q2,0.008440169020034876,0.0005171645285440244,-0.0020356387206044557,-3.613801682691238e-05
2006,3,20,1.32,1.4,20,kansas,0.0,2006Q3,0.008440169020034876,0.0005171645285440244,-0.0020356387206044557,-3.613801682691238e-05
2006,4,20,1.24,1.32,20,kansas,-0.08000000000000007,2006Q4,0.008440169020034876,0.0005171645285440244,-0.0020356387206044557,-3.613801682691238e-05
2007,1,20,1.24,1.32,20,kansas,0.0,2007Q1,0.0061893872248309795,0.0005833256954837362,-0.002250781795203896,6.616116693971186e-05
2007,2,20,1.11,1.24,20,kansas,-0.1299999999999999,2007Q2,0.0061893872248309795,0.0005833256954837362,-0.002250781795203896,6.616116693971186e-05
2007,3,20,1.32,1.4,20,kansas,0.20999999999999996,2007Q3,0.0061893872248309795,0.0005833256954837362,-0.002250781795203896,6.616116693971186e-05
2007,4,20,1.32,1.4,20,kansas,0.0,2007Q4,0.0061893872248309795,0.0005833256954837362,-0.002250781795203896,6.616116693971186e-05
2008,1,20,1.24,1.32,20,kansas,-0.08000000000000007,2008Q1,0.008887529671138683,0.0031804760239528057,0.002698142446307703,0.0025971503284690695
2008,2,20,1.32,1.4,20,kansas,0.08000000000000007,2008Q2,0.008887529671138683,0.0031804760239528057,0.002698142446307703,0.0025971503284690695
2005,2,21,1.32,1.4,21,kentucky,-0.07999999999999985,2005Q2,0.010210238395323269,0.0020069131472036645,0.0026201799633448295,-0.00034325263419366335
2005,3,21,1.32,1.4,21,kentucky,0.0,2005Q3,0.010210238395323269,0.0020069131472036645,0.0026201799633448295,-0.00034325263419366335
2005,4,21,1.32,1.4,21,kentucky,0.0,2005Q4,0.010210238395323269,0.0020069131472036645,0.0026201799633448295,-0.00034325263419366335
2006,1,21,1.32,1.4,21,kentucky,0.0,2006Q1,0.007419893222230961,0.0013855263089971454,-0.0027903451730923075,-0.0006213868382065192
2006,2,21,1.32,1.4,21,kentucky,0.0,2006Q2,0.007419893222230961,0.0013855263089971454,-0.0027903451730923075,-0.0006213868382065192
2006,3,21,1.4,1.5,21,kentucky,0.07999999999999985,2006Q3,0.007419893222230961,0.0013855263089971454,-0.0027903451730923075,-0.0006213868382065192
2006,4,21,1.4,1.5,21,kentucky,0.0,2006Q4,0.007419893222230961,0.0013855263089971454,-0.0027903451730923075,-0.0006213868382065192
2007,1,21,1.32,1.4,21,kentucky,-0.07999999999999985,2007Q1,0.006825496139162493,0.0013472074050022934,-0.0005943970830684688,-3.8318903994851924e-05
2007,2,21,1.4,1.5,21,kentucky,0.07999999999999985,2007Q2,0.006825496139162493,0.0013472074050022934,-0.0005943970830684688,-3.8318903994851924e-05
2007,3,21,1.4,1.5,21,kentucky,0.0,2007Q3,0.006825496139162493,0.0013472074050022934,-0.0005943970830684688,-3.8318903994851924e-05
2007,4,21,1.4,1.5,21,kentucky,0.0,2007Q4,0.006825496139162493,0.0013472074050022934,-0.0005943970830684688,-3.8318903994851924e-05
2008,1,21,1.4,1.5,21,kentucky,0.0,2008Q1,0.006667829999835512,0.002282567362757167,-0.0001576661393269804,0.0009353599577548734
2008,2,21,1.4,1.5,21,kentucky,0.0,2008Q2,0.006667829999835512,0.002282567362757167,-0.0001576661393269804,0.0009353599577548734
