State,GMM_logp
arizona,-2.537577632057487
arizona,-7.779878635904684
arizona,-7.716311993457404
arizona,-7.716311993457404
arizona,-7.716311993457404
arizona,-8.760535832592359
arizona,-8.790319149709891
arizona,-8.760535832592359
arizona,-8.760535832592359
arizona,-7.79262434669906
arizona,-7.79262434669906
arizona,-7.964295505653247
arizona,-7.964295505653247
arizona,-7.575230526489571
arizona,-7.79321880995518
arizona,-7.79321880995518
arizona,-7.79321880995518
arizona,-10.010856544672615
arizona,-10.010856544672615
arizona,-10.010856544672615
arizona,-10.010856544672615
arizona,-10.223435940821968
arizona,-9.734665049697426
arizona,-9.734665049697426
arizona,-10.223435940821968
arizona,-10.402328412542772
arizona,-10.402328412542772
arizona,-10.402328412542772
arizona,-10.402328412542772
arizona,-26.84842638887052
arizona,-26.84842638887052
arizona,-26.84842638887052
arizona,-26.84842638887052
arizona,-24.56878110992406
arizona,-24.56878110992406
arkansas,-3.9089462593736313
arkansas,-3.9089462593736313
arkansas,-3.9089462593736313
arkansas,-3.9089462593736313
arkansas,-3.666142718517459
arkansas,-3.666142718517459
arkansas,-3.666142718517459
arkansas,-3.666142718517459
arkansas,-3.5195030922005883
arkansas,-3.5195030922005883
arkansas,-3.5195030922005883
arkansas,-3.5195030922005883
arkansas,-5.911919913096234
arkansas,-5.011864047941723
arkansas,-5.011864047941723
arkansas,-5.011864047941723
arkansas,-2.277370044931792
arkansas,-2.2901588019735857
arkansas,-2.277370044931792
arkansas,-2.277370044931792
arkansas,-4.048579702797758
arkansas,-4.048579702797758
arkansas,-4.106923437160792
arkansas,-4.048579702797758
arkansas,-2.173888277084093
arkansas,-2.173888277084093
arkansas,-2.173888277084093
arkansas,-2.173888277084093
arkansas,-2.5978772702962085
arkansas,-2.5978772702962085
arkansas,-2.639252107980973
arkansas,-2.5978772702962085
arkansas,-6.3678014372639895
arkansas,-6.388211860232419
arkansas,-6.388211860232419
arkansas,-6.388211860232419
arkansas,-7.304793043039161
arkansas,-7.304793043039161
california,-2.5953767813529964
california,-2.5953767813529964
california,-2.471563882392716
california,-2.3907028352934843
california,-2.771092472446437
california,-2.8278346307831246
california,-2.8278346307831246
california,-2.8278346307831246
california,-2.236298972234677
california,-2.236298972234677
california,-2.373494745025173
california,-2.373494745025173
california,-2.624268474315491
california,-2.399878966511427
california,-2.910530552610848
california,-2.624268474315491
california,-4.243986282226008
california,-4.243986282226008
california,-4.243986282226008
california,-4.908451193544317
california,-3.664416045773601
california,-3.664416045773601
california,-3.664416045773601
california,-3.664416045773601
california,-3.98899689133008
california,-3.98899689133008
california,-3.98899689133008
california,-3.98899689133008
california,-3.891649312704704
california,-3.891649312704704
california,-3.891649312704704
california,-3.891649312704704
california,-8.385446920227889
california,-8.385446920227889
california,-8.385446920227889
california,-8.385446920227889
california,-10.609939512007518
california,-10.609939512007518
colorado,-2.626832045806609
colorado,-2.626832045806609
colorado,-2.626832045806609
colorado,-2.6412847343815056
colorado,-2.5637239539067243
colorado,-2.5637239539067243
colorado,-2.5637239539067243
colorado,-2.5553120977201114
colorado,-3.394648058280687
colorado,-3.4181620527871
colorado,-3.404110030658704
colorado,-3.404110030658704
colorado,-6.260068224709949
colorado,-6.260068224709949
colorado,-6.382641653483383
colorado,-6.382641653483383
colorado,-8.24434637941121
colorado,-8.24434637941121
colorado,-8.24434637941121
colorado,-9.023829436219934
colorado,-5.553569359780369
colorado,-5.553569359780369
colorado,-5.553569359780369
colorado,-5.553569359780369
colorado,-5.19539691145242
colorado,-5.19539691145242
colorado,-5.19539691145242
colorado,-5.19539691145242
colorado,-3.937937558524172
colorado,-3.937937558524172
colorado,-3.937937558524172
colorado,-3.937937558524172
colorado,-4.877331329566928
colorado,-4.877331329566928
colorado,-4.877331329566928
colorado,-4.877331329566928
colorado,-8.237625721450861
colorado,-8.237625721450861
connecticut,-2.41633604181481
connecticut,-3.714680171995049
connecticut,-3.714680171995049
connecticut,-3.714680171995049
connecticut,-3.875768261698647
connecticut,-3.875768261698647
connecticut,-3.875768261698647
connecticut,-3.875768261698647
connecticut,-4.996642832937519
connecticut,-4.996642832937519
connecticut,-4.996642832937519
connecticut,-4.996642832937519
connecticut,-3.4371960275854314
connecticut,-3.4371960275854314
connecticut,-3.4740245586171214
connecticut,-3.4371960275854314
connecticut,-2.3654128953202473
connecticut,-2.3328654860113955
connecticut,-2.3654128953202473
connecticut,-2.4253857472489817
connecticut,-2.4151117165407108
connecticut,-2.4151117165407108
connecticut,-2.4151117165407108
connecticut,-2.4151117165407108
connecticut,-2.693504485771405
connecticut,-2.693504485771405
connecticut,-2.693504485771405
connecticut,-2.693504485771405
connecticut,-2.599389321849102
connecticut,-2.698385509531927
connecticut,-2.698385509531927
connecticut,-2.698385509531927
connecticut,-2.4375321087062316
connecticut,-2.5323764396577544
connecticut,-2.5323764396577544
connecticut,-2.5323764396577544
connecticut,-2.4792265684471073
connecticut,-2.4792265684471073
delaware,-5.485253449040521
delaware,-5.485253449040521
delaware,-5.485253449040521
delaware,-5.485253449040521
delaware,-8.320589063194044
delaware,-8.320589063194044
delaware,-7.087451201281641
delaware,-8.320589063194044
delaware,-4.320182039386481
delaware,-5.276588502471446
delaware,-4.320182039386481
delaware,-4.320182039386481
delaware,-7.538628686991153
delaware,-7.538628686991153
delaware,-7.3770094818970735
delaware,-7.3770094818970735
delaware,-6.975381942170927
delaware,-6.975381942170927
delaware,-6.975381942170927
delaware,-6.975381942170927
delaware,-3.2625619421280234
delaware,-3.1936436172461597
delaware,-3.2625619421280234
delaware,-3.1936436172461597
delaware,-2.7152575927375286
delaware,-2.7152575927375286
delaware,-2.7152575927375286
delaware,-2.6508326104173436
delaware,-3.590381529817363
delaware,-3.590381529817363
delaware,-3.707592147356548
delaware,-3.867886170179727
delaware,-5.900414849695531
delaware,-6.070867046011266
delaware,-6.070867046011266
delaware,-6.335019744866825
delaware,-18.89685357914024
delaware,-18.75676813427105
florida,-3.1405111975438236
florida,-3.020905176330983
florida,-3.020905176330983
florida,-2.9561191053027716
florida,-2.7303597035367155
florida,-2.837446384374947
florida,-2.7303597035367155
florida,-2.837446384374947
florida,-2.2881671053298565
florida,-2.19157896014786
florida,-2.2881671053298565
florida,-2.2881671053298565
florida,-2.193032307145628
florida,-2.193032307145628
florida,-2.193032307145628
florida,-2.193032307145628
florida,-2.4041872133005966
florida,-2.4041872133005966
florida,-2.4041872133005966
florida,-2.6353872784404437
florida,-2.6796581956867835
florida,-2.6796581956867835
florida,-2.6796581956867835
florida,-2.6796581956867835
florida,-2.742330372019457
florida,-2.742330372019457
florida,-2.742330372019457
florida,-3.3058471969365035
florida,-3.310770707059319
florida,-3.310770707059319
florida,-3.310770707059319
florida,-3.310770707059319
florida,-8.352515726535017
florida,-8.352515726535017
florida,-8.352515726535017
florida,-8.352515726535017
florida,-13.512958230943694
florida,-13.512958230943694
georgia,-5.037129065980534
georgia,-5.037129065980534
georgia,-5.037129065980534
georgia,-5.037129065980534
georgia,-7.048833061158438
georgia,-7.048833061158438
