"year","month","EPUType","State","EPU_value"
2000,2,"National","RI",32.6324421819215
2000,2,"State","RI",65.2648843638429
2000,2,"Composite","RI",97.8973265457644
2000,2,"National","SC",55.5534217471949
2000,2,"State","SC",37.03561449813
2000,2,"Composite","SC",92.5890362453249
2000,2,"National","TN",53.7565683336758
2000,2,"State","TN",21.5026273334703
2000,2,"Composite","TN",64.507882000411
2000,2,"National","TX",55.780662227464
2000,2,"State","TX",42.9082017134338
2000,2,"Composite","TX",85.8164034268676
2000,2,"National","UT",33.4182621962709
2000,2,"State","UT",40.101914635525
2000,2,"Composite","UT",60.1528719532876
2000,2,"National","VA",18.8533960104841
2000,2,"State","VA",56.5601880314524
2000,2,"Composite","VA",65.9868860366945
2000,2,"National","WA",72.6407076885689
2000,2,"State","WA",72.6407076885689
2000,2,"Composite","WA",114.149683510608
2000,2,"National","WI",49.047457922842
2000,2,"State","WI",29.4284747537052
2000,2,"Composite","WI",78.4759326765472
2000,2,"National","WV",30.1113656618476
2000,2,"State","WV",30.1113656618476
2000,2,"Composite","WV",60.2227313236952
2000,3,"National","AK",58.4696339468302
2000,3,"State","AK",58.4696339468302
2000,3,"Composite","AK",58.4696339468302
2000,3,"National","AL",115.651703767996
2000,3,"State","AL",150.347214898395
2000,3,"Composite","AL",196.607896405593
2000,3,"National","CA",93.6421345812209
2000,3,"State","CA",68.8545107214859
2000,3,"Composite","CA",148.72574315841
2000,3,"National","CO",57.7751176237363
2000,3,"State","CO",23.1100470494945
2000,3,"Composite","CO",69.3301411484836
2000,3,"National","CT",38.9894816937398
2000,3,"State","CT",9.74737042343496
2000,3,"Composite","CT",48.7368521171748
2000,3,"National","FL",74.1510691334214
2000,3,"State","FL",44.4906414800528
2000,3,"Composite","FL",98.2501666017833
2000,3,"National","GA",56.5915882785753
2000,3,"State","GA",103.751245177388
2000,3,"Composite","GA",132.047039316676
2000,3,"National","IA",61.0098379244377
2000,3,"State","IA",24.4039351697751
2000,3,"Composite","IA",61.0098379244377
2000,3,"National","ID",173.284883403183
2000,3,"State","ID",198.039866746495
2000,3,"Composite","ID",321.814783463055
2000,3,"National","IL",52.0250683286692
2000,3,"State","IL",33.4446867827159
2000,3,"Composite","IL",70.6054498746225
2000,3,"National","IN",32.1816472744521
2000,3,"State","IN",64.3632945489042
2000,3,"Composite","IN",96.5449418233563
2000,3,"National","KS",42.9938857191046
2000,3,"State","KS",25.7963314314628
2000,3,"Composite","KS",42.9938857191046
2000,3,"National","KY",70.5398007286958
2000,3,"State","KY",23.5132669095653
2000,3,"Composite","KY",94.0530676382611
2000,3,"National","LA",54.1480144558671
2000,3,"State","LA",36.0986763039114
2000,3,"Composite","LA",72.1973526078228
2000,3,"National","MA",34.8869993543312
2000,3,"State","MA",23.2579995695541
2000,3,"Composite","MA",46.5159991391083
2000,3,"National","MD",67.3817029833682
2000,3,"State","MD",134.763405966736
2000,3,"Composite","MD",179.684541288982
2000,3,"National","ME",69.9093497528644
2000,3,"State","ME",69.9093497528644
2000,3,"Composite","ME",104.864024629297
2000,3,"National","MI",35.4833168598096
2000,3,"State","MI",53.2249752897144
2000,3,"Composite","MI",53.2249752897144
2000,3,"National","MN",92.0410408819674
2000,3,"State","MN",61.3606939213116
2000,3,"Composite","MN",122.721387842623
2000,3,"National","MO",119.277229265389
2000,3,"State","MO",8.51980209038495
2000,3,"Composite","MO",119.277229265389
2000,3,"National","MT",0
2000,3,"State","MT",184.968517850204
2000,3,"Composite","MT",184.968517850204
2000,3,"National","NC",84.0728227222621
2000,3,"State","NC",75.6655404500359
2000,3,"Composite","NC",134.516516355619
2000,3,"National","ND",68.6611965604961
2000,3,"State","ND",22.8870655201654
2000,3,"Composite","ND",91.5482620806615
2000,3,"National","NE",50.485614494923
2000,3,"State","NE",67.3141526598973
2000,3,"Composite","NE",100.971228989846
2000,3,"National","NH",88.6155548888584
2000,3,"State","NH",44.3077774444292
2000,3,"Composite","NH",132.923332333288
2000,3,"National","NJ",93.4316316321169
2000,3,"State","NJ",32.975869987806
2000,3,"Composite","NJ",120.911523288622
2000,3,"National","NM",87.9959613692492
2000,3,"State","NM",65.9969710269369
2000,3,"Composite","NM",131.993942053874
2000,3,"National","NY",74.2624373006782
2000,3,"State","NY",61.8853644172318
2000,3,"Composite","NY",117.58219239274
2000,3,"National","OH",53.3751757412986
2000,3,"State","OH",48.0376581671688
2000,3,"Composite","OH",80.0627636119479
2000,3,"National","OK",65.2541891505241
2000,3,"State","OK",32.627094575262
2000,3,"Composite","OK",97.8812837257861
2000,3,"National","OR",80.9877085932955
2000,3,"State","OR",40.4938542966477
2000,3,"Composite","OR",121.481562889943
2000,3,"National","PA",61.435765165787
2000,3,"State","PA",34.5576179057552
2000,3,"Composite","PA",76.7947064572338
2000,3,"National","RI",89.2778458097545
2000,3,"State","RI",59.5185638731697
2000,3,"Composite","RI",119.037127746339
2000,3,"National","SC",66.6151757471869
2000,3,"State","SC",16.6537939367967
2000,3,"Composite","SC",83.2689696839836
2000,3,"National","TN",80.9247044095172
2000,3,"State","TN",10.1155880511897
2000,3,"Composite","TN",91.0402924607069
2000,3,"National","TX",77.1384127523464
2000,3,"State","TX",32.4793316851985
2000,3,"Composite","TX",101.497911516245
2000,3,"National","UT",54.6341495414229
2000,3,"State","UT",18.2113831804743
2000,3,"Composite","UT",54.6341495414229
2000,3,"National","VA",8.35382279703751
2000,3,"State","VA",50.122936782225
2000,3,"Composite","VA",50.122936782225
2000,3,"National","WA",82.2045346003613
2000,3,"State","WA",31.9684301223627
2000,3,"Composite","WA",109.606046133815
2000,3,"National","WI",17.9012057353596
2000,3,"State","WI",35.8024114707191
2000,3,"Composite","WI",44.7530143383989
2000,3,"National","WV",14.1775549572761
2000,3,"State","WV",28.3551099145522
2000,3,"Composite","WV",42.5326648718284
2000,4,"National","AK",61.4023769378274
2000,4,"State","AK",30.7011884689137
2000,4,"Composite","AK",92.1035654067412
2000,4,"National","AL",81.7326051264075
2000,4,"State","AL",40.8663025632037
2000,4,"Composite","AL",95.3547059808087
2000,4,"National","CA",115.15444779036
2000,4,"State","CA",43.1829179213849
2000,4,"Composite","CA",129.548753764155
2000,4,"National","CO",69.5709975184068
2000,4,"State","CO",23.1903325061356
2000,4,"Composite","CO",92.7613300245423
2000,4,"National","CT",91.5165235686849
2000,4,"State","CT",50.8425130937138
2000,4,"Composite","CT",101.685026187428
2000,4,"National","FL",85.3146723712848
2000,4,"State","FL",31.0235172259218
2000,4,"Composite","FL",98.8874611576256
2000,4,"National","GA",117.228981814743
2000,4,"State","GA",48.8454090894764
2000,4,"Composite","GA",146.536227268429
2000,4,"National","IA",132.644151491849
2000,4,"State","IA",82.9025946824058
2000,4,"Composite","IA",149.22467042833
2000,4,"National","ID",179.462718619516
2000,4,"State","ID",153.825187388157
2000,4,"Composite","ID",179.462718619516
2000,4,"National","IL",61.7068797335863
2000,4,"State","IL",38.5667998334914
2000,4,"Composite","IL",92.5603196003794
2000,4,"National","IN",67.5724760462892
2000,4,"State","IN",16.8931190115723
2000,4,"Composite","IN",67.5724760462892
2000,4,"National","KS",71.9989775431193
2000,4,"State","KS",17.9997443857798
2000,4,"Composite","KS",80.9988497360092
2000,4,"National","KY",49.5714991787541
2000,4,"State","KY",49.5714991787541
2000,4,"Composite","KY",74.3572487681311
2000,4,"National","LA",55.1348265310301
2000,4,"State","LA",36.7565510206867
2000,4,"Composite","LA",73.5131020413734
2000,4,"National","MA",37.0287698117104
2000,4,"State","MA",61.7146163528507
2000,4,"Composite","MA",86.400462893991
2000,4,"National","MD",151.249704285839
2000,4,"State","MD",100.833136190559
2000,4,"Composite","MD",226.874556428758
2000,4,"National","ME",19.7056243860762
2000,4,"State","ME",39.4112487721524
2000,4,"Composite","ME",59.1168731582286
2000,4,"National","MI",35.913864320614
2000,4,"State","MI",35.913864320614
2000,4,"Composite","MI",71.827728641228
2000,4,"National","MN",151.824957389796
2000,4,"State","MN",50.6083191299319
2000,4,"Composite","MN",185.56383680975
2000,4,"National","MO",65.3091068790519
2000,4,"State","MO",55.9792344677588
2000,4,"Composite","MO",93.2987241129313
2000,4,"National","MT",0
2000,4,"State","MT",68.2729326048722
2000,4,"Composite","MT",68.2729326048722
2000,4,"National","NC",54.7035735238202
2000,4,"State","NC",45.5863112698502
2000,4,"Composite","NC",100.28988479367
2000,4,"National","ND",119.996476934885
2000,4,"State","ND",23.9992953869769
2000,4,"Composite","ND",119.996476934885
2000,4,"National","NE",101.533966731031
2000,4,"State","NE",33.8446555770105
2000,4,"Composite","NE",118.456294519537
2000,4,"National","NH",49.4387366217314
2000,4,"State","NH",98.8774732434629
2000,4,"Composite","NH",98.8774732434629
2000,4,"National","NJ",70.5187698380998
2000,4,"State","NJ",32.5471245406614
2000,4,"Composite","NJ",81.3678113516536
2000,4,"National","NM",72.7322994572898
2000,4,"State","NM",48.4881996381932
2000,4,"Composite","NM",96.9763992763864
2000,4,"National","NY",58.0122638412921
2000,4,"State","NY",64.458070934769
2000,4,"Composite","NY",116.024527682584
2000,4,"National","OH",77.043425773344
2000,4,"State","OH",35.5585042030819
2000,4,"Composite","OH",100.749095242065
2000,4,"National","OK",109.524802002645
2000,4,"State","OK",62.5856011443684
2000,4,"Composite","OK",125.171202288737
2000,4,"National","OR",161.906637816236
2000,4,"State","OR",40.4766594540589
2000,4,"Composite","OR",202.383297270295
2000,4,"National","PA",60.4596357775517
2000,4,"State","PA",12.9556362380468
2000,4,"Composite","PA",69.0967266029162
2000,4,"National","RI",31.191213912613
2000,4,"State","RI",62.382427825226
2000,4,"Composite","RI",62.382427825226
2000,4,"National","SC",36.9129586369718
2000,4,"State","SC",55.3694379554577
2000,4,"Composite","SC",73.8259172739435
2000,4,"National","TN",76.775101843689
2000,4,"State","TN",32.9036150758667
2000,4,"Composite","TN",98.7108452276001
2000,4,"National","TX",83.2154563926757
2000,4,"State","TX",30.6583260394068
2000,4,"Composite","TX",96.354738980993
2000,4,"National","UT",49.6909977445072
2000,4,"State","UT",18.6341241541902
2000,4,"Composite","UT",49.6909977445072
2000,4,"National","VA",27.6110254627559
2000,4,"State","VA",46.0183757712598
2000,4,"Composite","VA",73.6294012340158
2000,4,"National","WA",99.3239421462391
2000,4,"State","WA",54.6281681804315
2000,4,"Composite","WA",129.121124790111
2000,4,"National","WI",46.1320764101437
2000,4,"State","WI",27.6792458460862
2000,4,"Composite","WI",64.5849069742012
2000,4,"National","WV",75.1763590261261
2000,4,"State","WV",30.0705436104504
2000,4,"Composite","WV",90.2116308313513
2000,5,"National","AK",90.526285874607
2000,5,"State","AK",120.701714499476
2000,5,"Composite","AK",181.052571749214
2000,5,"National","AL",93.1523303935702
2000,5,"State","AL",13.30747577051
2000,5,"Composite","AL",93.1523303935702
2000,5,"National","CA",113.846366927642
2000,5,"State","CA",67.765694599787
2000,5,"Composite","CA",170.769550391463
2000,5,"National","CO",59.5107435908207
2000,5,"State","CO",35.7064461544924
2000,5,"Composite","CO",95.2171897453131
2000,5,"National","CT",72.7729529554761
2000,5,"State","CT",31.1884084094898
2000,5,"Composite","CT",93.5652252284693
2000,5,"National","FL",72.5756523929176
2000,5,"State","FL",38.3038165407065
2000,5,"Composite","FL",94.7515461796424
2000,5,"National","GA",186.560213973842
2000,5,"State","GA",41.4578253275205
2000,5,"Composite","GA",217.653582969483
2000,5,"National","IA",34.3995483141055
2000,5,"State","IA",22.9330322094037
2000,5,"Composite","IA",45.8660644188074
2000,5,"National","ID",48.7538077616279
2000,5,"State","ID",48.7538077616279
2000,5,"Composite","ID",48.7538077616279
2000,5,"National","IL",63.4894904852938
2000,5,"State","IL",31.7447452426469
2000,5,"Composite","IL",79.3618631066173
2000,5,"National","IN",65.2426072160686
2000,5,"State","IN",48.9319554120515
2000,5,"Composite","IN",114.17456262812
2000,5,"National","KS",34.3628191955443
2000,5,"State","KS",17.1814095977721
2000,5,"Composite","KS",34.3628191955443
2000,5,"National","KY",98.9460017928527
2000,5,"State","KY",24.7365004482132
2000,5,"Composite","KY",123.682502241066
2000,5,"National","LA",166.736945191541
2000,5,"State","LA",148.210617948037
2000,5,"Composite","LA",277.894908652569
2000,5,"National","MA",31.320157421286
2000,5,"State","MA",20.880104947524
2000,5,"Composite","MA",52.2002623688099
2000,5,"National","MD",128.499266336689
2000,5,"State","MD",25.6998532673379
2000,5,"Composite","MD",154.199119604027
2000,5,"National","ME",71.3090581701143
2000,5,"State","ME",53.4817936275857
2000,5,"Composite","ME",71.3090581701143
2000,5,"National","MI",34.5540629790678
2000,5,"State","MI",69.1081259581356
2000,5,"Composite","MI",86.3851574476695
2000,5,"National","MN",114.9486864127
2000,5,"State","MN",114.9486864127
2000,5,"Composite","MN",213.4761319093
2000,5,"National","MO",98.2931824675507
2000,5,"State","MO",35.7429754427457
2000,5,"Composite","MO",116.164670188924
2000,5,"National","MT",0
