ASSET,ELNATR,ID,LNLSGR,PTXNOINC,STNAME,YEAR
1906983,4589,SI_1987_VT,1560428,21389,Vermont,1987
25221342,89862,SI_1987_WA,15838223,177653,Washington,1987
16487877,35224,SI_1987_WI,11983858,104386,Wisconsin,1987
2001888,12154,SI_1987_WV,1387512,-12828,West Virginia,1987
1193997,29523,SI_1987_WY,616571,-43453,Wyoming,1987
460901,52270,SI_1988_AK,352028,-72797,Alaska,1988
10622913,52515,SI_1988_AL,6036533,-32676,Alabama,1988
6405894,334503,SI_1988_AR,4031921,-480934,Arkansas,1988
24150687,791878,SI_1988_AZ,14310903,-1061180,Arizona,1988
395460366,984292,SI_1988_CA,261939039,741440,California,1988
14772761,285623,SI_1988_CO,7324237,-341351,Colorado,1988
50725611,104837,SI_1988_CT,37018129,385398,Connecticut,1988
2125168,7098,SI_1988_DE,1436157,7804,Delaware,1988
88456286,393606,SI_1988_FL,53355884,-509100,Florida,1988
20158933,58208,SI_1988_GA,12634159,50086,Georgia,1988
107163,98,SI_1988_GU,76061,2073,Guam,1988
6545768,7402,SI_1988_HI,3764198,60919,Hawaii,1988
9732486,81644,SI_1988_IA,5896256,-66527,Iowa,1988
884035,4412,SI_1988_ID,547908,2483,Idaho,1988
67399775,119084,SI_1988_IL,39894685,332810,Illinois,1988
14114888,19968,SI_1988_IN,9875078,101636,Indiana,1988
22549435,105871,SI_1988_KS,9167847,-105798,Kansas,1988
7715086,6664,SI_1988_KY,5052815,58638,Kentucky,1988
14889913,233250,SI_1988_LA,9791133,-235298,Louisiana,1988
62957863,231186,SI_1988_MA,46404881,452947,Massachusetts,1988
23406155,83159,SI_1988_MD,15986474,94780,Maryland,1988
7260978,31628,SI_1988_ME,5566968,68810,Maine,1988
37536317,42398,SI_1988_MI,16934522,183556,Michigan,1988
15209896,347589,SI_1988_MN,9190930,-368628,Minnesota,1988
24704122,210716,SI_1988_MO,13489669,-139680,Missouri,1988
5184014,86112,SI_1988_MS,2945290,-94470,Mississippi,1988
1170981,4182,SI_1988_MT,700565,6846,Montana,1988
21100645,67567,SI_1988_NC,15666748,129404,North Carolina,1988
4576951,11959,SI_1988_ND,2295598,4386,North Dakota,1988
12239543,78140,SI_1988_NE,5729051,-105797,Nebraska,1988
11396268,40927,SI_1988_NH,9080999,66741,New Hampshire,1988
69836496,223878,SI_1988_NJ,45399568,276215,New Jersey,1988
5367618,409179,SI_1988_NM,3175215,-532238,New Mexico,1988
5211175,14944,SI_1988_NV,2401308,46460,Nevada,1988
179995655,347355,SI_1988_NY,112761348,1142275,New York,1988
51980262,117547,SI_1988_OH,34600218,273586,Ohio,1988
10615548,77285,SI_1988_OK,5232505,-94413,Oklahoma,1988
11362869,21744,SI_1988_OR,6036583,-26160,Oregon,1988
68445730,243123,SI_1988_PA,43004269,-95551,Pennsylvania,1988
6807289,31032,SI_1988_PR,3801377,36845,Puerto Rico,1988
7374815,26014,SI_1988_RI,5653175,72922,Rhode Island,1988
11836128,25552,SI_1988_SC,8931308,57578,South Carolina,1988
1413566,6358,SI_1988_SD,957040,8917,South Dakota,1988
12080633,68813,SI_1988_TN,8063689,26617,Tennessee,1988
110930841,2905969,SI_1988_TX,43911571,-4537369,Texas,1988
7617295,42435,SI_1988_UT,3800837,-41987,Utah,1988
30383224,85954,SI_1988_VA,20290785,39098,Virginia,1988
15395,49,SI_1988_VI,12290,-429,Virgin Islands Of The U.S.,1988
2102610,10320,SI_1988_VT,1756146,10876,Vermont,1988
