"State","coef_1","coef_2","coef_3","coef_4","coef_5","coef_6","coef_7","coef_8","coef_9","coef_10","coef_11","coef_12","coef_13","coef_14","coef_15","coef_16","coef_17","coef_18","coef_19","coef_20","coef_21","coef_22","coef_23","coef_24","coef_25","coef_26","coef_27","coef_28","coef_29","coef_30","coef_31","coef_32","coef_33","coef_34","coef_35","coef_36","coef_37","coef_38","coef_39","coef_40","coef_41","coef_42","coef_43","coef_44","coef_45","coef_46","coef_47","coef_48","coef_49","coef_50"
"iowa",0.460467333833631,-0.148144618026602,0.0841624135148203,0.0114884896564292,-0.188137176067433,0.0150812492925298,0.684552533893289,0.0470576115451569,0.0542169220284256,0.0477231989444786,-0.118624241760998,-0.0237809424192606,0.756161421495023,-0.0537157231408889,0.0476666734505177,0.0851036504309756,-0.0211008202217675,0.023943541392209,0.943410918259266,0.0410069558967976,-0.0494812864707054,-0.083886665168121,0.157648306974306,-0.0708163322458783,0.21778235768858,0.0639132653983123,0.106065069366541,0.00228696245001385,-0.0220086757704867,0.00605815158921626,-0.0308832199106225,0.0972303101463211,-0.0937007830302317,0.0722133357310327,-0.0201979409258857,0.0605698976994058,0.0213496044317664,0.206803283320633,-0.00360948122466079,-0.0328561600344972,0.040446478801022,-0.0262960659344724,0.043553334380192,0.144750747432559,0.0264152020136983,-0.011577400914542,-0.0100988891898941,-0.100879342962273,0.0532860371344998,0.112199586954858
"kansas",0.249082472712127,-0.0592641269423161,-0.053697847405927,0.0256905728128976,-0.105668859843933,0.0369249395355498,0.72283989845705,-0.0963156906015223,0.05822442724483,0.0662388735638561,0.0392592550762853,0.0272496569026482,0.585530930926818,-0.0126066686521752,-0.0936616100100762,0.00595004386366395,0.0474655029268615,-0.00225085575670403,0.936502323034113,-0.00330938154845576,-0.00497915337786836,0.0097322790377619,0.193427776019115,-0.0620946976479134,0.229398813725161,0.0669072753690661,0.0788355666940301,-0.0379920452404491,-0.0123103766709065,-0.0735030721028836,0.0238162134050936,0.0231515580388437,-0.0213355246762178,0.0341209471510902,-0.062373974170507,-0.0227402751299741,0.0230522885841312,0.165473589744295,0.0142334544350134,0.0131938061265253,0.00921098830680742,-0.022516891295231,0.00431498222321265,0.126042674604092,0.0165965433508176,-0.0181737290258915,-0.0124655010622594,-0.182973780208438,0.050421202965486,0.15204627780398
"kentucky",0.449766643018899,0.11781149488096,0.034733196131247,-0.0233855538311167,-0.0590230706317778,-0.189834186534017,0.775755832985346,-0.00566516861999176,0.0779173610282366,0.015211475962821,0.00923528648921257,-0.0836795910973736,0.603704976115454,-0.0607925858008247,-0.152516757261375,-0.0196585684340872,-0.0188912325658531,0.0369605280974991,0.916420511792706,0.00964789280078519,-0.185880883751503,-0.0790585724198478,0.184145370560423,-0.0588876054092106,0.240272668726289,0.229812028679593,0.048812731743376,0.0110178176428807,0.0227987059292083,0.107129888759407,-0.0372686198209389,0.0651048720287302,-0.0368980490725745,0.0595005139295404,-0.0861187444025739,0.0217170409971225,-0.0249387790548349,0.215534779370418,-0.0176887143315358,0.0432267271204213,0.00261607080723497,-0.0275043620461577,0.0322610358105702,0.137813520178654,0.0249635568324434,0.0649008116644317,0.0256173652702758,-0.1468550048561,0.0516930312756796,0.138979185415242
"louisiana",0.576122095238975,0.0535317699710749,-0.0445090441223224,-0.0249819340279393,0.0343849409714665,-0.158129573685168,0.679287469804636,-0.0140867719044666,-0.091744324452526,0.127620041980331,-0.0665561952659958,0.0226936875335349,0.797233168192416,0.127019628060864,0.0770664840698931,-0.133409424842946,0.0142728335553497,-0.00507919812079231,0.949017309270502,0.00757334926550946,-0.0564163030687099,-0.0819255682191026,0.0649286012823147,-0.0433289705333453,0.206631928185404,0.175751891064225,-0.0856276712035252,-0.0127368347064094,0.0314184196894369,0.0623240060056861,-0.0127110063108802,0.0359794516846375,0.0456275966107486,-0.0270293730659825,-0.0546796352952354,-0.0112023586441529,0.063213096788549,0.134200466705202,0.0392275771382355,-0.00761618199288091,-0.0292477462746208,-0.00329913273295246,0.000396768554664135,0.179546079279458,0.0144096252364864,0.0635546556001759,0.0347248219742828,-0.0133771158993742,0.0498847238202638,0.123827101948716
"maine",0.218404255850097,0.129374211394556,0.0095043793800941,-0.00977723281866237,-0.0192041256855532,-0.152485170028778,0.69876906525461,0.0518824298910501,0.0151651072195397,0.105835993524177,0.00785507432784199,-0.0920256042425268,0.709535368277546,0.00207428591188926,-0.0551131657877325,-0.00464467677134686,0.04704751877145,-0.0120875651292378,0.969557412046711,0.0187227942132632,0.0681541858896534,-0.124727352867299,0.215273378393642,-0.0693426023764127,0.224941660675967,0.351000120594163,0.0294866679328351,0.0040969248346121,-0.000251959400625293,0.185667010447288,0.0448294505883827,0.00313898349555203,-0.0687275057937838,0.0780915502191919,-0.0902354656702277,0.0451954775422481,-0.0628869204046029,0.0810311018601954,0.0495969220879759,-0.0148892766824742,-0.00367275210459155,0.00927029330941829,0.0189043790723638,0.148971052818986,0.0160472083439349,0.00108814008707278,-0.0227977933885328,-0.101230875779561,0.0467612930031925,0.162733639645071
"maryland",0.361306512679262,0.0348186487908186,-0.0565090074827518,-0.00643621401448447,-0.160056339786131,-0.101940165689925,0.760651244502792,0.0778154847813804,0.0395304985215156,0.127497749269572,0.0892622908433772,-0.152869566879704,0.685870815712585,-0.0269655091135315,0.00706081089651926,-0.0180201651515125,0.0504903639453258,0.00602010953840641,0.969564526275729,0.00970724961736556,0.00604733473768424,-0.096644215101448,0.0268791482322153,-0.0588059798571735,0.252441417141166,0.147322212557959,-0.0245978451129341,-0.033042653429082,0.0365469004742046,0.135814042272257,-0.0306055117446169,0.141015128025179,-0.100999553983411,0.0715091413041999,-0.0211477062265493,-0.0525478749183335,-0.0113525748271945,0.0980336845269239,0.0330289244513184,-0.0635351007268339,0.0360988574429256,0.00215480033488843,0.0368234475282694,0.15163803521408,0.0196403208551099,-0.0142321745047176,-0.0179843371573858,-0.105808542393783,0.0491693265677908,0.131161653905403
"michigan",0.564949363526167,0.0786835544381768,0.120300247884696,0.0425766963542192,0.0459560195932884,0.0645895126347254,0.820952359896732,0.0784004821181366,0.0441791286296752,0.0404434394116181,-0.0871344322623271,-0.00205413922187667,0.6850400842918,-0.116683687162894,-0.0191073065779555,-0.0242767036737304,0.100465588581735,0.136214171509504,0.916296232580768,0.00728693274043955,0.148626472083774,-0.091673820442124,0.0959578823603887,-0.0581279374291554,0.213279807602091,0.189452615255487,0.0366779828567359,0.0469284824981614,-0.0107091854478473,-0.024600481983271,0.0117616494632585,0.148366046344814,0.0296535202776046,0.0516707149197703,-0.01881127545413,-0.0614168236113154,-0.00509893950579996,0.155216877328208,-0.0723700164491285,0.0785262897218132,-0.00569618027488886,0.0314159015525821,0.0279299476513606,0.160457082048587,0.0110352305460024,0.0665627993371345,-0.0192340216870541,-0.106058781424624,0.0499318255219423,0.121462117927924
"missouri",0.459667406410998,0.078073633849666,0.041969535450128,-0.0702835721155285,-0.0304961711091276,-0.171310715089944,0.856713836216699,-0.0881164819064385,0.0950478000283437,0.0467920796830276,-0.00763883306566586,-0.00902656897484402,0.671595756650854,-0.00193842197950921,-0.0803164029969562,-0.0604704745855155,0.0419826058604157,0.076266474424549,0.921104542116219,0.017166252451138,0.000923335662504278,-0.0638070738351024,0.0329728479367953,-0.0623022567287849,0.229729686692511,0.326089924680395,0.00428157809602996,0.0506461664160639,-0.0290099569892412,0.167657174472603,-0.0235308847783371,0.15054434737173,-0.0562957359827774,0.060196959406546,-0.0435084999449262,-0.0314019717524094,0.0227015406527502,0.108656725905331,0.0235668125945953,0.0516619191288162,0.00930923378669276,-0.00967877186221377,0.0415061591163405,0.140335791377815,0.0161423715340939,0.0633285339174277,-0.00705787623037033,-0.140422306570191,0.0477131587638095,0.126568640089253
"montana",0.625920862881752,-0.101710069546288,-0.0415102897043103,0.00916262714226508,-0.119601377515337,0.18354788582425,0.73421005586463,-0.120907841854081,0.113375673931226,-0.0107709750421176,-0.0294313371616981,0.054810004975506,0.633761875985979,0.00212312646547468,0.0308789631797774,0.0512752079882527,0.066989191545529,-0.00331743051242433,0.943836213890594,0.0483625110431176,-0.0887239857900153,-0.105619175065409,0.0536000123724708,-0.0713723463167177,0.201608198491603,0.135792938564766,0.0463978109297947,-0.0105904033781497,-0.0130384037955203,-0.0376895882434825,-0.043405008072968,0.183490469984394,-0.0241315804025854,0.0641876804800552,-0.109629281796284,0.0283303104075979,0.0031666746225695,0.129577292167853,0.0535619171555376,-0.00486704011038377,-0.0138202974245017,0.00369354864004472,0.0251959972665852,0.153687687816452,0.0214114640385433,-0.0324211942956041,-0.0619243318806027,-0.0703214470234323,0.0486846289442839,0.123682099992005
"nebraska",0.177561509073337,0.0902034572750032,-0.0350621118283903,0.0050721941410096,-0.0285945110268138,0.0888557689488471,0.700702430590644,0.0771233511585935,-0.0870011701082162,0.0829397197832182,0.082572355310438,-0.217626508680366,0.859488456635442,-0.0191716095358721,-0.0845973852334466,-0.0477723364235579,0.135310662967612,-0.0764270453733586,0.958902210317157,-0.0081598961512263,-0.0594784911649506,-0.0707476163175413,-0.0205901063888287,-0.0507962723467053,0.219192129953752,0.218798257098001,0.0643611946075948,0.041330280591177,0.0153669078413802,-0.0693221850582624,-0.0176675059428483,0.00510552230361889,-0.0377287701116405,-0.0342288221057031,0.00447232662693256,-0.0190916459692315,-0.0416381301268595,0.108957841249224,0.0237750942546883,-0.0519966134051779,-0.00832628354814546,0.0186608789039489,0.00871866868819688,0.145993582192327,0.00586960969127651,-0.00655384228350557,-0.030706466280788,-0.0319258564465328,0.0467892118733044,0.141479316546095
