State,combined_1,combined_2,combined_3,combined_4,combined_5,combined_6,combined_7,combined_8,combined_9,combined_10,combined_11,combined_12,combined_13,combined_14,combined_15,combined_16,combined_17,combined_18,combined_19,combined_20,combined_21,combined_22,combined_23,combined_24,combined_25
missouri,0.2424160393638316,0.0507800886563575,0.0343399819313954,-0.021291255125628503,-0.0699436194883758,-0.141745383028463,0.371280020155252,-0.10141170505931925,-0.008847370967484648,-0.0807032507561892,-0.0977422627584159,-0.05762178441317,0.34943159318474143,-0.1146794320829096,-0.12458100520771109,-0.07586260824608335,-0.055020335410672645,-0.08158101432495252,0.43031703376535174,-0.106687616619457,-0.0851936897137199,-0.019996349099364697,0.01075435324761885,-0.0369593031392258,0.11042556159063406
montana,0.2907037334905392,-0.0695475100343263,-0.047503357823060005,-0.02760562014007615,0.019792905156294505,0.1712488006716435,0.44495014474559996,0.013708413047286004,0.12448683086581899,0.1106668118737122,0.08482577378064694,0.08548035818876999,0.27849817523871595,0.13166727573295878,0.0992205245756032,0.06993363737270325,0.1035213820310035,0.13649298249707337,0.49755571093942336,0.1541695750902623,0.04741195001711735,-0.09747578857194009,0.02222568658421865,-0.034247693243737796,0.1134297225296279
nebraska,0.08755410487191656,0.0442302189893925,-0.01924409014674725,9.349920334920025e-05,-0.0210658568183903,0.03547047266959535,0.3388549935443942,0.024183144912777704,-0.0610686683880616,0.06384221246895184,0.058879611993798146,-0.12976573029765306,0.42597681289135153,0.0184537472321155,-0.028692648817202404,-0.04793307669462065,0.07797309063352205,-0.0035518999403105003,0.45556493694679956,0.03773514903978145,0.014688638891948248,-0.0421832445691473,-0.00872026757314805,-0.0235344447529058,0.11178480525517011
ohio,0.2600639118950358,-0.0051557656932725,0.024325137300163002,-0.01038148254367125,0.04578688339010455,-0.015027514615471948,0.4652621187244014,-0.011716681369513048,0.058573866774654204,-0.043070486350177545,-0.004922712123368048,-0.0397427232297379,0.3635868867848118,-0.06514955892791391,-0.07597955067153744,0.013152552206814199,-0.0211719798111191,-0.02092471202938645,0.4625819547147904,-0.0370925100206752,-0.0089380623425447,-0.030810113952141203,0.00306464058060395,-0.0193970641797964,0.1293306544603594
oklahoma,0.12249728649469581,0.028110986697296798,0.0036303379068348997,0.018289825379474302,-0.0039047014926296003,-0.0070257455966789995,0.39951341654532396,0.0014508218588989005,-0.04464761891382095,0.053010768823934996,0.08622074043918446,-0.0270162964598798,0.32260636095601014,0.048555846630689396,0.02120591975263035,-0.0069642427286309,0.0046577771192617,-0.0022237860718841004,0.4805127129061539,0.0046519630460293004,-0.0221764870649034,-0.0263725939454614,0.08438917398471574,-0.02606593152831389,0.1012210474832527
oregon,0.20451074765015143,0.0977764695019701,0.08193495340469674,0.021664758338972752,0.01141702425424195,-0.12444234426366295,0.329112779557206,0.0115565392284527,0.014923466744446699,8.895497174494366e-05,-0.09996345381455746,-0.08717527059997435,0.30430345415873483,-0.09793058611976,-0.0169462383428403,-0.0074120565018139005,-0.00776363617955605,-0.07538112142832801,0.46167309004308055,-0.12666255568840737,-0.179909770287072,-0.0848048004139345,0.08539891654321045,-0.03795787785492865,0.09465875262945775
pennsylvania,0.23644222021692346,0.00759747782988955,0.01687479648735285,-0.053562768960365895,0.05159772404245225,0.08463126723693745,0.23248865313376094,-0.02346288903489715,-0.044168208016531846,0.07332106974322311,0.0561137701660884,0.009752238765061552,0.30663724668204406,0.04065767445710012,0.03508944874990285,-0.0403398603058926,0.0258998448671588,0.06309347865675771,0.46188840972169387,0.09590880190470215,0.0306964325298915,-0.0447641182319602,0.08905757821001646,-0.0222603421536536,0.11623859208714579
tennessee,0.1712982341439727,0.02567251632776375,0.08872282963556195,-0.02090218101601235,0.04017590214776865,-0.042345341167889405,0.44643895216728596,-0.038222645334227,0.08200586468522605,-0.05411199296193995,-0.025825904456682647,0.014158843664704901,0.4040148932903605,-0.0585628997069815,-0.09003775713792035,0.0320761208199387,-0.05419995460121405,-0.09422405261540201,0.47141308804940124,-0.054965432859333856,-0.14032564398149,-0.02273111392036515,0.0331153869877776,-0.0265353581147263,0.1059997892205766
texas,0.3077640542107819,0.0290421632695004,-0.0012037510774853496,0.038401966193331805,-0.0794144018713202,-0.0671102420406423,0.33126451026178044,-0.015630765881247802,-0.04800414018137565,0.005593345704810654,-0.026976599426100704,-0.03318587730637295,0.31847832109529156,-0.0385132644597765,-0.0659018630020089,-0.03052393475042595,-0.01419317923172085,-0.0800025878369345,0.46092020863376726,-0.05453909207584585,-0.0996502230511771,-0.06312871134724596,0.07247735016053049,-0.025315846905676204,0.12787686370937495
utah,0.22941663051580463,0.02104244739624995,0.07331399704579565,0.030530207559747002,-0.0950875309240085,-0.0420793449774298,0.389249385770392,-0.10942303875927886,-0.03295053390584014,0.0056284814950138505,-0.02713639095080665,-0.07493162360787965,0.3493448242347529,-0.05860141284514985,0.0605957947660465,-0.1418343262520225,-0.034380838635726746,0.0428396397361844,0.37280775219278395,0.0253784944530994,-0.03363027587276835,-0.0232054915194074,0.05024709550878215,-0.03065762214260535,0.12418864707264944
virginia,0.15095525458967565,-0.031526837173005355,-0.00887250372425735,0.026503904135093702,0.018437808179776048,-0.06577461278773535,0.32129530964122754,-0.08156603974221166,-0.005185705082613047,-0.003480876349399701,-0.0081503369188949,-0.0458943031638866,0.28900916882402833,-0.017555011119554497,-0.02331148239162205,-0.06481314807280755,0.01211515926145,-0.04295971824309325,0.45552272393176807,-0.02806018469764255,-0.05541788915733785,-0.0265366188580596,0.09036619434695452,-0.0309153501970198,0.10859639748451151
washington,0.23895276970069604,0.04026352336225885,0.03569736208780735,-0.028867685426518498,0.0033903119952139998,-0.02247629533268005,0.44321350125756037,0.026065524495385302,0.031344053488892396,-0.00484956625550265,0.017531443147975053,0.02436701911319045,0.3076774704917612,-0.025685386010518552,-0.09701960253464541,0.034150969891993746,0.030975264758734748,-0.053232998219173495,0.4969375810112835,-0.0357706929079647,-0.126509976481807,-0.09815903265156464,0.03413561116195755,-0.0285622976754079,0.12563795091769145
wisconsin,0.11908415060599929,0.01796138633107265,0.0432278808034396,0.0392180550544906,0.0063093378815804,-0.0428501707360352,0.36862775140994314,0.0092269852318865,0.017326725440716,-0.01693985023737615,-0.0224145241595175,-0.07084591239256709,0.3072293208636235,-0.0208130395710011,0.00561007079972475,0.00547732369958465,0.031049972988293754,-0.035051822782402854,0.47988266732873525,-0.0304834977022381,-0.07572272205963901,-0.0443901086134291,0.07045684758021185,-0.03264864576899855,0.10641406693803154
