State,irf_1,irf_26,irf_51,irf_76,irf_101,irf_126,irf_151,irf_176,irf_201,irf_6,irf_31,irf_56,irf_81,irf_106,irf_131,irf_156,irf_181,irf_206,irf_11,irf_36,irf_61,irf_86,irf_111,irf_136,irf_161,irf_186,irf_211,irf_16,irf_41,irf_66,irf_91,irf_116,irf_141,irf_166,irf_191,irf_216,irf_21,irf_46,irf_71,irf_96,irf_121,irf_146,irf_171,irf_196,irf_221
kentucky,1,0.449766643018899,0.191677141935485,0.0672919716697307,0.0087634282251365,-0.0163313804673859,-0.0246211265448435,-0.024892529692736,-0.0217728125475992,0,-0.189834186534017,-0.237057648135747,-0.224203902557321,-0.189234647579514,-0.149754998308535,-0.113458193809011,-0.0831245844660867,-0.059169260910566,0,0.0092352864892125,0.055159404151338,0.0732477377330985,0.0697278473137801,0.0569806189106464,0.042616880053669,0.0300018485667506,0.0201182947437018,0,-0.0196585684340872,-0.0247230996842479,-0.0209729379507258,-0.0139069367493806,-0.0066461605572453,-0.0005456211419202,0.0040204455794449,0.0071360910648284,0,-0.185880883751503,-0.110398816032968,-0.0318002623915364,0.0122994932946674,0.029945905870444,0.0329543841985316,0.0293443089227209,0.0235373389247394
louisiana,1,0.576122095238975,0.327807019489402,0.187844504908028,0.111671565837522,0.0717742413671841,0.0518217180811229,0.0424135922574607,0.0383004422656385,0,-0.158129573685168,-0.192540110787275,-0.165901881585889,-0.119130018163901,-0.0724855504266524,-0.0338647201565958,-0.0049515109506487,0.0152303136271832,0,-0.0665561952659958,-0.116287265862637,-0.147329963988953,-0.16496855357964,-0.173973755666633,-0.177629291070049,-0.17802164969672,-0.176435669827642,0,-0.133409424842946,-0.205814136111795,-0.241436448396519,-0.255863959324732,-0.258562059858595,-0.255073453352456,-0.248543395571287,-0.240697388449067,0,-0.0564163030687099,-0.0297461406647631,-0.0074988594604541,0.0023398738788259,0.0043183346935088,0.0026888436345382,-7.4753638402404e-05,-0.0027921764651089
maine,1,0.218404255850097,0.0267839984924068,-0.0119718980365038,-0.0145951942143645,-0.0105938462965276,-0.0066637840192743,-0.0038812171563753,-0.0021047563654713,0,-0.152485170028778,-0.132305060516182,-0.0903746871002349,-0.0567943688663268,-0.0340784377425723,-0.0196648069243872,-0.0108608761563439,-0.0056646206163168,0,0.0078550743278419,0.0175557472955386,0.0219939503718854,0.0218957621345136,0.0192779249078304,0.0157150419051215,0.0121355113447032,0.0089858955114135,0,-0.0046446767713468,-0.0115106587887758,-0.0167619725992709,-0.020069169437059,-0.0218759283968109,-0.0226672886955945,-0.0228150723269011,-0.0225745595441814,0,0.0681541858896534,0.0512480139801558,0.0344327790183085,0.0240986578198312,0.0176151029404384,0.013157826695867,0.0099131568748852,0.0075145181214867
maryland,1,0.361306512679262,0.121096921192335,0.0312812223161881,-0.000458191671971,-0.0098156939019894,-0.0108959923110289,-0.0092839634579249,-0.0071311900119248,0,-0.101940165689925,-0.107367895773306,-0.0844443222492301,-0.0581930331711881,-0.0365581729429387,-0.0209925673084751,-0.0107334395338719,-0.0044806187515034,0,0.0892622908433772,0.109585618242799,0.10327386077116,0.0876039326854591,0.0700772636221167,0.0539187098358004,0.0403340997548536,0.029552561499244,0,-0.0180201651515125,-0.0285334402273204,-0.0344432834713078,-0.0374061520897356,-0.0384934751842906,-0.0384255938368148,-0.0376848923864474,-0.0365868840402764,0,0.0060473347376842,0.0170224542926483,0.0200294771052459,0.0182078772971551,0.0147720960435147,0.0113501296852025,0.0085371049914903,0.006436543755423
michigan,1,0.564949363526167,0.319564281204066,0.177322469144316,0.0952677142987869,0.048876226063658,0.023458280501825,0.0101493373089417,0.0036460661555175,0,0.0645895126347254,0.0876217774814309,0.0864025360704934,0.0744929139453893,0.059610551288777,0.0454999976001796,0.0336424910420781,0.0243534743601771,0,-0.0871344322623271,-0.109056952991636,-0.100000249857619,-0.0793221282010699,-0.0568605257288555,-0.0370044007789226,-0.0212381145180368,-0.0096185847690273,0,-0.0242767036737304,-0.0402566503966917,-0.0499480590270535,-0.0546248749749904,-0.0555178393062979,-0.0537567502903281,-0.0502869120593312,-0.0458432889716987,0,0.148626472083774,0.102794207905318,0.0532621792979629,0.0231012752237561,0.0078209376656867,0.0012385440044717,-0.0008465756304872,-0.0008711229891799
missouri,1,0.459667406410998,0.201820598956046,0.0804289022744989,0.0247969963414193,0.0005810593882209,-0.0088785635112429,-0.0116163495496667,-0.0114641414415576,0,-0.171310715089944,-0.230541485690052,-0.239428503074454,-0.22742044218631,-0.208198581195406,-0.187845692451166,-0.168845607418466,-0.152023276681761,0,-0.0076388330656658,-0.0070521241722006,-0.0052313702716435,-0.0036733227601118,-0.002575061039003,-0.0018570190462401,-0.0014077494529954,-0.0011362903691695,0,-0.0604704745855155,-0.0912547419066512,-0.106216999851496,-0.112742541963313,-0.1147069282122,-0.114153795906195,-0.112180050966982,-0.109391067867624,0,0.0009233356625042,0.015082953319227,0.023814375636373,0.0272674297186288,0.0277010618642715,0.0267104284126628,0.0251646723166652,0.023486543463049
montana,1,0.625920862881752,0.385411288221921,0.228563339001387,0.127485362229181,0.0638989831015248,0.0252512465676528,0.0028769598292421,-0.0091486392040335,0,0.18354788582425,0.259976639137407,0.276303395506571,0.261211425000443,0.232104598789542,0.199082884722992,0.167562085971429,0.140053572516478,0,-0.0294313371616981,-0.0296447278083871,-0.0187209829287707,-0.005959268776909,0.004705629306336,0.0121503839015479,0.0165476419346361,0.0185496134213787,0,0.0512752079882527,0.0885920667571538,0.116150711402034,0.135597987800412,0.148324667948653,0.15569023362657,0.158949715519037,0.159187187827926,0,-0.0887239857900153,-0.0980450049058761,-0.0893324020784712,-0.0767655255085471,-0.0643738674224173,-0.0534964259418097,-0.0445133959006736,-0.0373849505223646
nebraska,1,0.177561509073337,0.038106473713152,0.0123668446956455,0.0068578979102206,0.005218446363356,0.0043774805565882,0.0037273828408937,0.0031495712425326,0,0.0888557689488471,0.0836301942307892,0.0693232454927376,0.0560791040001031,0.0447447051546855,0.0351868686771583,0.0272120875990418,0.0206355182994321,0,0.082572355310438,0.0722418848814502,0.0504262000959784,0.0312308269079792,0.01651555224431,0.0058527858882333,-0.0015350960087541,-0.0063826914254994,0,-0.0477723364235579,-0.0480938169656834,-0.0419049519149401,-0.035136166667907,-0.0287570613330381,-0.0229924435018556,-0.0179148236096564,-0.0135372026099668,0,-0.0594784911649506,-0.0291581586317365,-0.0136188728207533,-0.007534830852739,-0.0048851957343112,-0.0034260684651042,-0.0024532993295039,-0.0017430192962182
ohio,1,0.512743618473351,0.268241124285263,0.143371976304545,0.0788037601503819,0.0450063961528676,0.0270447429196878,0.0172984625419852,0.0118554792798879,0,-0.047940327796064,-0.0702940339081675,-0.0790706618762535,-0.0806840703183171,-0.078577421957979,-0.0746146468154857,-0.0698133282669557,-0.064731929920663,0,0.0647692225687496,0.0811720487940167,0.0793560415176695,0.0712796235409132,0.0618387796195992,0.0529487899356612,0.0452336557776065,0.0387736043086485,0,0.0103331870779388,0.0159719173356896,0.0187327113698374,0.0197315841763762,0.0196602891600215,0.0189530486139747,0.0178852985651201,0.0166327109542963,0,0.0300642031109746,0.0252528301533036,0.0181608497660112,0.0133198857601067,0.0103763836059069,0.0085685175175242,0.0073842053167206,0.0065379017241823
oklahoma,1,0.238779544692782,0.0560341887638396,0.0121535543846012,0.0020339492072599,2.95257712295794e-05,-0.0001512647310846,-1.51792352095792e-05,0.0001112884379275,0,-0.0094180590065012,-0.0114892138691216,-0.0064427830805504,-0.0011082173316938,0.002505273592774,0.0044623331626779,0.0052747952104242,0.0054002734971331,0,0.167979147715691,0.143255407811045,0.0989092453940945,0.0641906452416495,0.040565509652342,0.0251752419896071,0.015320715087636,0.0090675446530011,0,-0.0061200440975222,-0.0078084413597396,-0.0073633608139716,-0.0064757545764216,-0.005684065437993,-0.005079524699344,-0.0046334321868568,-0.0043006597364256,0,-0.0349349151233056,0.0139771252577021,0.0263523096693452,0.0224903131083333,0.0157373317041406,0.0101273864231226,0.0062150282966096,0.0036680097312738
oregon,1,0.386065549623164,0.0797397377394053,-0.0355220779416163,-0.0562522974790653,-0.0422456208817632,-0.0228365760104445,-0.0085725087639175,-0.0008604609305111,0,-0.248243158510065,-0.273801952052698,-0.20925107668932,-0.131050219470528,-0.0701695026968285,-0.0321137586267749,-0.0120699115695829,-0.0032381421740729,0,-0.16781314900234,-0.118589827718603,-0.0357745585736077,0.0194918216718444,0.0413538540605034,0.0414500012224099,0.0320893359191507,0.0211787597167151,0,-0.0024978823913468,-0.012326230612281,-0.0162231142988197,-0.0142481912874017,-0.0095100314643525,-0.004551939278618,-0.0006415300172609,0.0019227181544801,0,-0.111576382064079,-0.0508073246944836,0.009964978501511,0.0386052273681886,0.0423054247323138,0.0340287094177855,0.0229559456771389,0.0135457397449372
pennsylvania,1,0.468171431809945,0.208081129366051,0.0944338899902258,0.0473234918339273,0.02783456134615,0.0192625869138376,0.0149702273069851,0.0124439788345679,0,0.204380426390193,0.185631022973769,0.128251439789714,0.0812532058641514,0.0507524123084985,0.0326139478475761,0.0221351778895062,0.0160485939681079,0,0.0796135924846007,0.0932988785546488,0.0823899810008795,0.0653261636607686,0.0492486434314703,0.0362673649307516,0.0264974596244462,0.0194069579250189,0,-0.0358098201217982,-0.044869900489987,-0.0446341088992111,-0.0420468274857776,-0.0393471259609404,-0.0370410526131921,-0.0351178919163181,-0.0334689303073365,0,-0.14298756133041,-0.0921514891500404,-0.0403953563318298,-0.0121121448849208,-1.72942502047928e-05,0.0040225815200491,0.0047130086239019,0.0042558216415742
tennessee,1,0.340765667683057,0.107667525543161,0.0355107513660243,0.0146681334053606,0.008253537860364,0.0055633275358342,0.0038902648960299,0.002635654256951,0,-0.11049244982005,-0.133894954760465,-0.130327486894998,-0.119652671612878,-0.107641630894951,-0.0958244107233916,-0.0846043133735081,-0.0741112634266534,0,0.0441726018100263,0.0679777163783163,0.0696530785210201,0.0623123565269122,0.0530188412872591,0.0443105355368738,0.0368150748985611,0.0305342649374595,0,0.0297305993489255,0.0344216422909519,0.0330998581910885,0.0309088461219051,0.028931787440545,0.027258007976834,0.0258017674842712,0.0244802655530987,0,-0.17015883814293,-0.0906181309981665,-0.0329959108332818,-0.008685121085602,-0.0005950446657207,0.0015384000518119,0.0018308006048884,0.001642249953911
texas,1,0.607990092445763,0.376378844818929,0.2291860016718,0.134467419532426,0.0742263838673535,0.0367742764025039,0.0142052504431401,0.001171624014612,0,-0.0820673793643122,-0.118943369990169,-0.122399526201584,-0.108389653217161,-0.0877262765909649,-0.0664555642250659,-0.0474806343683712,-0.0318703883546186,0,0.0125023653728645,0.0265832163308555,0.0306681330241435,0.0279604732162097,0.0222648807238648,0.0159623535477327,0.0102433178953003,0.005567476347653,0,-0.0231631048356275,-0.0378847646652244,-0.0467935846110802,-0.0515778923531588,-0.0534844908434998,-0.0534476755693001,-0.0521531047169724,-0.0500901719945254,0,-0.117233066738042,-0.0871919262786118,-0.047580657833647,-0.0202138538710949,-0.0042983035469604,0.0039280768661785,0.0075380159758008,0.0085752319343496
utah,1,0.445068298769438,0.199683068328424,0.0841003234767171,0.0298380778883294,0.0055585464624967,-0.0042053891923001,-0.007217188473975,-0.0073276913191517,0,0.0149577584632838,0.0059281751168312,-0.0080383689900686,-0.0221546511328282,-0.0347577523923673,-0.0451704435439309,-0.053178557818737,-0.0588308973277285,0,-0.0091023383576824,-0.0130240050048359,-0.0044599126336003,0.008109747477225,0.0193568202007083,0.0272865090617002,0.0316965292229267,0.0331376632473715,0,-0.12069888416239,-0.162969768341655,-0.168902829109946,-0.157812759780919,-0.139502880502467,-0.119071089421521,-0.0991164484181434,-0.080879203142126,0,-0.0822183102088205,-0.0521717984709371,-0.0223260024024045,-0.0037037056171443,0.0065566378212352,0.0116701420758763,0.0137649622621713,0.0141305672830382
virginia,1,0.292612855235612,0.0794598046429612,0.0215004353110226,0.0066968733185529,0.0027440166283905,0.001338448134608,0.0005709664536639,4.10671930320501e-05,0,-0.051164603845252,-0.0594801900096478,-0.054424171483165,-0.046991596135804,-0.0403422961949979,-0.0350418101338799,-0.0309558485379942,-0.0278264695450061,0,0.0187411362960901,0.0170473159131111,0.0113669373331741,0.0065680085344109,0.0033329070057372,0.0013123814163024,8.22152932845599e-05,-0.0006623273279752,0,-0.0558407361623548,-0.0737855599832603,-0.0794820214918028,-0.0812359647768921,-0.0815424412211357,-0.0811656251765049,-0.0803846217302187,-0.0793374763360609,0,-0.0596711744694237,-0.020665269643691,0.0017429745463585,0.0090903168955336,0.0103945171799163,0.0099819865152669,0.0092976539437393,0.0087007411193482
washington,1,0.470012656737332,0.21915644592948,0.102652543390213,0.0483516613627837,0.0225659149102673,0.0100064885076229,0.0037591138823874,0.0006426038796202,0,-0.046632948314229,-0.0680212245195904,-0.0702223201324609,-0.0637996033698764,-0.0549752449503942,-0.0464691063845843,-0.0391731636112228,-0.0332004328256773,0,0.0815319926805344,0.121810004455088,0.115980408709509,0.091260332614772,0.0645840150952326,0.0425385461649804,0.0263587757450149,0.0152471216297338,0,0.0308118672797,0.0374900725042875,0.0324529153001748,0.0237545678041354,0.0150635229888268,0.0076373667693167,0.0016803576488689,-0.0029763712799262,0,-0.206387004649385,-0.136956955400104,-0.0632691059272143,-0.0212403034514686,-0.0018897752598111,0.0056517471391237,0.0078928826640601,0.0080207287504532
wisconsin,1,0.23232916256657,0.0485733117518123,0.0076933121995057,-0.0001264296797815,-0.0010327954550941,-0.0008456306090809,-0.0006792193037361,-0.0006490875754053,0,-0.0726210490846516,-0.0714050224942728,-0.0570967239687207,-0.0433436264179796,-0.0324752289477223,-0.0243253794999428,-0.0183167162527617,-0.0139132633464536,0,-0.0205036688190922,-0.0094863556828551,0.002204326302184,0.0089561623762057,0.0116033382053451,0.0118013674243442,0.0107887267044071,0.009312880085368,0,0.0077969634167745,0.0031576839823948,-0.0022597108743332,-0.0065273953413976,-0.0095929354506036,-0.0116976362623368,-0.0130792923874188,-0.0139280599407308,0,-0.0788243950346264,-0.0325841125728977,-0.0064600143301018,0.0031715263672669,0.0059453408143719,0.0062876181072507,0.0058391386454286,0.0051814864194773
