State,iso_score,normal_score
georgia,0.06518935834058392,-0.06518935834058392
georgia,0.06518935834058392,-0.06518935834058392
georgia,0.06518935834058392,-0.06518935834058392
georgia,0.06518935834058392,-0.06518935834058392
south dakota,0.06405795465732367,-0.06405795465732367
south dakota,0.06405795465732367,-0.06405795465732367
illinois,0.06374277561093,-0.06374277561093
illinois,0.06374277561093,-0.06374277561093
illinois,0.06374277561093,-0.06374277561093
illinois,0.06374277561093,-0.06374277561093
maryland,0.060306220767002094,-0.060306220767002094
maryland,0.060306220767002094,-0.060306220767002094
alaska,0.058108645358812216,-0.058108645358812216
alaska,0.058108645358812216,-0.058108645358812216
rhode island,0.057177230717974314,-0.057177230717974314
north dakota,0.05516572288970378,-0.05516572288970378
nevada,0.05348761411785474,-0.05348761411785474
nevada,0.05348761411785474,-0.05348761411785474
