State,YearQuarter,EPU_value_Quarterly
alabama,2017 Q1,44.086875648859994
alabama,2017 Q2,55.59806882116396
alabama,2017 Q3,40.4247943465772
alabama,2017 Q4,43.92893764683513
alabama,2018 Q1,32.34297542644457
alabama,2018 Q2,47.122962449442774
alabama,2018 Q3,57.89941947095514
alabama,2018 Q4,20.741260382326335
alabama,2019 Q1,84.40817662376436
alabama,2019 Q2,66.31492773905427
alabama,2019 Q3,70.3130890588234
alabama,2019 Q4,25.18081823825287
alabama,2020 Q1,132.79681802167613
alabama,2020 Q2,338.00646406429416
alabama,2020 Q3,217.81610198178365
alabama,2020 Q4,88.37451123493652
alabama,2021 Q1,194.88770782530102
alabama,2021 Q2,78.3439942320838
alabama,2021 Q3,59.9757885226607
alabama,2021 Q4,65.94025896402977
alabama,2022 Q1,86.01301178947658
alabama,2022 Q2,31.10688552908623
alabama,2022 Q3,62.72146319583707
alabama,2022 Q4,77.4954649620397
alabama,2023 Q1,57.28963569316607
alabama,2023 Q2,49.87940654256727
alabama,2023 Q3,36.98197434592487
alabama,2023 Q4,33.67458157906533
alabama,2024 Q1,33.051793578410134
alabama,2024 Q2,45.23718147376684
alabama,2024 Q3,90.18323214176633
alabama,2024 Q4,76.67870530889877
alaska,2000 Q1,81.16357345166107
alaska,2000 Q2,90.55591488820323
alaska,2000 Q3,39.37994701297077
alaska,2000 Q4,55.09667821061803
alaska,2001 Q1,70.89419750119734
alaska,2001 Q2,34.3627267495498
alaska,2001 Q3,43.301840374499626
alaska,2001 Q4,81.01336598623537
alaska,2002 Q1,71.86927478714931
alaska,2002 Q2,69.31771761170994
alaska,2002 Q3,94.678069635866
alaska,2002 Q4,137.98806279842117
alaska,2003 Q1,73.29931310327947
alaska,2003 Q2,146.31002317116668
alaska,2003 Q3,49.2268441141571
alaska,2003 Q4,67.729579588006
alaska,2004 Q1,136.7760323956653
alaska,2004 Q2,92.92278839003284
alaska,2004 Q3,39.51294509609027
alaska,2004 Q4,58.37170230598196
alaska,2005 Q1,65.91744884669184
alaska,2005 Q2,85.46204434049218
alaska,2005 Q3,58.417367838694794
alaska,2005 Q4,102.17988728988956
alaska,2006 Q1,88.49525307742454
alaska,2006 Q2,164.167498315402
alaska,2006 Q3,75.18074853567393
alaska,2006 Q4,144.159974250067
alaska,2007 Q1,60.55075953518914
alaska,2007 Q2,88.96648231043112
alaska,2007 Q3,40.2409823492331
alaska,2007 Q4,106.34338158232663
alaska,2008 Q1,107.71079000050112
alaska,2008 Q2,51.652567548375565
alaska,2008 Q3,78.64260395035524
alaska,2008 Q4,128.14066139402533
alaska,2009 Q1,202.36986081185398
alaska,2009 Q2,192.12638224935935
alaska,2009 Q3,98.91729964490283
alaska,2009 Q4,138.34745929594905
alaska,2010 Q1,187.36483018744102
alaska,2010 Q2,52.86807716352826
alaska,2010 Q3,102.38999004094033
alaska,2010 Q4,115.8122469121743
alaska,2011 Q1,201.78967885960932
alaska,2011 Q2,94.53826612906762
alaska,2011 Q3,135.42497225591748
alaska,2011 Q4,69.6092655793092
alaska,2012 Q1,144.93912105550402
alaska,2012 Q2,107.16910237772036
alaska,2012 Q3,113.3461863870455
alaska,2012 Q4,46.0191264135037
alaska,2013 Q1,103.89890804681603
alaska,2013 Q2,102.27251788922108
alaska,2013 Q3,58.662729529966164
alaska,2013 Q4,62.2732151779559
alaska,2014 Q1,110.59786463564916
alaska,2014 Q2,66.65138269214447
alaska,2014 Q3,143.9414274388545
alaska,2014 Q4,190.67488566125235
alaska,2015 Q1,204.29315327603135
alaska,2015 Q2,147.214447535082
alaska,2015 Q3,179.33333066410168
alaska,2015 Q4,125.05325890789466
alaska,2016 Q1,290.011879641048
alaska,2016 Q2,417.7363192028147
alaska,2016 Q3,193.40285446098733
