State,G_hcluster,hclust_score
louisiana,0,-0.4143036966414194
louisiana,0,-0.4143036966414194
kansas,0,-0.41880439970181543
south carolina,0,-0.42410583189371104
south carolina,0,-0.42410583189371104
south carolina,0,-0.42410583189371104
south carolina,0,-0.42410583189371104
arizona,0,-0.4252719404921411
south carolina,0,-0.4271404784483224
south carolina,0,-0.4271404784483224
connecticut,0,-0.427312777215534
iowa,0,-0.43230643455994405
iowa,0,-0.43230643455994405
kansas,0,-0.4355591020297239
maine,0,-0.4363512939389426
pennsylvania,0,-0.4363580547121243
pennsylvania,0,-0.4363580547121243
pennsylvania,0,-0.4363580547121243
pennsylvania,0,-0.4363580547121243
maine,0,-0.4391395439020403
maine,0,-0.4391395439020403
maine,0,-0.4391395439020403
maine,0,-0.4391395439020403
nebraska,0,-0.44103495327753356
nebraska,0,-0.44103495327753356
florida,0,-0.4460222556851409
florida,0,-0.4460222556851409
florida,0,-0.4460222556851409
iowa,0,-0.4485570861253589
iowa,0,-0.4485570861253589
massachusetts,0,-0.4523724574480717
massachusetts,0,-0.4523724574480717
massachusetts,0,-0.4523724574480717
missouri,0,-0.4539206105832084
missouri,0,-0.4539206105832084
ohio,0,-0.4540090927513447
ohio,0,-0.4540090927513447
ohio,0,-0.4540090927513447
ohio,0,-0.4540090927513447
tennessee,0,-0.45456418755980554
tennessee,0,-0.45456418755980554
nebraska,0,-0.45697531242273653
nebraska,0,-0.45697531242273653
louisiana,0,-0.45895976650019954
louisiana,0,-0.45895976650019954
north carolina,0,-0.463688119619858
north carolina,0,-0.463688119619858
arkansas,0,-0.466761225381265
wisconsin,0,-0.46899590700858834
iowa,0,-0.4698502166862591
iowa,0,-0.4698502166862591
south carolina,0,-0.4705799640276179
south carolina,0,-0.4705799640276179
kentucky,0,-0.4736309070443694
kentucky,0,-0.4736309070443694
kentucky,0,-0.4736309070443694
kentucky,0,-0.4736309070443694
wisconsin,0,-0.4742814349656644
west virginia,0,-0.4755954844947543
west virginia,0,-0.4755954844947543
kentucky,0,-0.477050538714639
massachusetts,0,-0.47887654810132263
tennessee,0,-0.48044197972918773
tennessee,0,-0.48044197972918773
maine,0,-0.48093574295473956
maine,0,-0.48093574295473956
kentucky,0,-0.4830850736516208
kentucky,0,-0.4830850736516208
kentucky,0,-0.4830850736516208
alaska,0,-0.48374128604057465
alaska,0,-0.48374128604057465
alaska,0,-0.48374128604057465
alaska,0,-0.48374128604057465
iowa,0,-0.48484413193465187
iowa,0,-0.48484413193465187
west virginia,0,-0.48961839973739635
west virginia,0,-0.49041377531951685
west virginia,0,-0.49041377531951685
new mexico,0,-0.49469435548652413
alaska,0,-0.4981743569409228
alaska,0,-0.4981743569409228
alaska,0,-0.4981743569409228
maine,0,-0.5000740826280834
maine,0,-0.5000740826280834
maine,0,-0.5000740826280834
north carolina,0,-0.50398728802597
north carolina,0,-0.50398728802597
iowa,0,-0.5121733645038882
iowa,0,-0.5121733645038882
alaska,0,-0.5123400199719357
missouri,0,-0.5167467742019787
indiana,0,-0.5264453312820966
indiana,0,-0.5264453312820966
indiana,0,-0.5264453312820966
new mexico,0,-0.5294171401964424
new mexico,0,-0.5294171401964424
new mexico,0,-0.5294171401964424
missouri,0,-0.5304166615025326
missouri,0,-0.5304166615025326
missouri,0,-0.5304166615025326
alaska,0,-0.5307293696404565
new mexico,0,-0.5357186402696933
texas,0,-0.5396294871846632
texas,0,-0.5396294871846632
new mexico,0,-0.5410909405821964
north carolina,0,-0.544468608082921
west virginia,0,-0.5466567134918229
nebraska,0,-0.5480576814901549
california,0,-0.5510452849679727
california,0,-0.5510452849679727
vermont,0,-0.5515837129787307
vermont,0,-0.5515837129787307
vermont,0,-0.5515837129787307
louisiana,0,-0.5536475782226072
louisiana,0,-0.5536475782226072
louisiana,0,-0.5536475782226072
louisiana,0,-0.5536475782226072
vermont,0,-0.556284567468331
vermont,0,-0.556284567468331
iowa,0,-0.5563883020173374
iowa,0,-0.5563883020173374
iowa,0,-0.5563883020173374
iowa,0,-0.5563883020173374
minnesota,0,-0.5575320035880293
minnesota,0,-0.5575320035880293
montana,0,-0.5593764156354518
west virginia,0,-0.5595964336528803
west virginia,0,-0.5595964336528803
west virginia,0,-0.5595964336528803
west virginia,0,-0.5623765415754141
arkansas,0,-0.5634928605286522
arkansas,0,-0.5634928605286522
arkansas,0,-0.5634928605286522
arkansas,0,-0.5634928605286522
alaska,0,-0.5662774744011355
alaska,0,-0.5662774744011355
alaska,0,-0.5662774744011355
tennessee,0,-0.5677020867848306
tennessee,0,-0.5677020867848306
tennessee,0,-0.5677020867848306
tennessee,0,-0.5677020867848306
washington,0,-0.5704026546289758
washington,0,-0.5704026546289758
florida,0,-0.5705753068806142
florida,0,-0.5705753068806142
new mexico,0,-0.5709561942457421
new mexico,0,-0.5709561942457421
new mexico,0,-0.5709561942457421
michigan,0,-0.5737435082601678
michigan,0,-0.5737435082601678
michigan,0,-0.5737435082601678
iowa,0,-0.5750318019227428
iowa,0,-0.5750318019227428
iowa,0,-0.5750318019227428
iowa,0,-0.5750318019227428
wyoming,0,-0.5758467963345592
wyoming,0,-0.5758467963345592
north dakota,0,-0.5808368710548758
north dakota,0,-0.5808368710548758
tennessee,0,-0.5808386225602217
tennessee,0,-0.5808386225602217
tennessee,0,-0.5808386225602217
tennessee,0,-0.5808386225602217
ohio,0,-0.5842027753066398
ohio,0,-0.5842027753066398
ohio,0,-0.5842027753066398
montana,0,-0.5843316336736002
montana,0,-0.5843316336736002
montana,0,-0.5843316336736002
montana,0,-0.5843316336736002
tennessee,0,-0.5861676036037317
tennessee,0,-0.5861676036037317
wyoming,0,-0.5897593839510121
wyoming,0,-0.5897593839510121
oregon,0,-0.5907635182066484
montana,0,-0.5932103240709303
montana,0,-0.5932103240709303
montana,0,-0.5932103240709303
illinois,0,-0.594453183283052
illinois,0,-0.594453183283052
illinois,0,-0.594453183283052
illinois,0,-0.594453183283052
florida,0,-0.5945326781395014
wisconsin,0,-0.6001490197381499
wisconsin,0,-0.601586850301538
wisconsin,0,-0.601586850301538
wisconsin,0,-0.601586850301538
wyoming,0,-0.6017729946662769
massachusetts,0,-0.6053476204295648
massachusetts,0,-0.6053476204295648
massachusetts,0,-0.6053476204295648
massachusetts,0,-0.6053476204295648
west virginia,0,-0.6063960803378394
west virginia,0,-0.6063960803378394
wyoming,0,-0.6087660035382624
wyoming,0,-0.6087660035382624
vermont,0,-0.6090564621984583
vermont,0,-0.6090564621984583
vermont,0,-0.6090564621984583
vermont,0,-0.6090564621984583
west virginia,0,-0.613750793289951
west virginia,0,-0.613750793289951
west virginia,0,-0.613750793289951
florida,0,-0.6157132102567303
florida,0,-0.6157132102567303
florida,0,-0.6157132102567303
florida,0,-0.6157132102567303
tennessee,0,-0.6162038391048871
tennessee,0,-0.6162038391048871
tennessee,0,-0.6162038391048871
tennessee,0,-0.6162038391048871
west virginia,0,-0.6166407033311594
arkansas,0,-0.6215631116512895
arkansas,0,-0.6215631116512895
arkansas,0,-0.6215631116512895
tennessee,0,-0.6215899908070398
tennessee,0,-0.6215899908070398
tennessee,0,-0.6215899908070398
tennessee,0,-0.6215899908070398
wyoming,0,-0.6219426381696705
oregon,0,-0.6220483689524225
oregon,0,-0.6220483689524225
oregon,0,-0.6220483689524225
florida,0,-0.626470765152613
florida,0,-0.626470765152613
west virginia,0,-0.6281404008309674
wisconsin,0,-0.6318032606024083
wisconsin,0,-0.6318032606024083
wisconsin,0,-0.6318032606024083
vermont,0,-0.6335130917420875
vermont,0,-0.6335130917420875
connecticut,0,-0.6358726355679708
new mexico,0,-0.6361047979774769
idaho,0,-0.637272284218571
kentucky,0,-0.6375004270228914
kentucky,0,-0.6375004270228914
south carolina,0,-0.6382547458629814
south carolina,0,-0.6382547458629814
